Team,Conference,Year,Target,Win %,Off.Rank,Def.Rank,Avg.Turnover.Margin.per.Game,Points.Per.Game,Avg.Points.per.Game.Allowed,Rush.Yards.Per.Game.Allowed,Rushing.Yards.per.Game,Pass.Yards.Per.Game.Allowed,Pass.Yards.Per.Game,Off.Yards.Play,Yards.Play.Allowed,X3rd.Percent,Opponent.3rd.Percent,Redzone.Points,Redzone.Points.Allowed
Iowa,Big Ten,2014,0,0.5384615384615384,63,22,-0.46,28.2,25.6,168.3,163.1,175.9,237.0,5.47,5.28,0.448,0.368,0.786,0.892
Iowa St.,Big 12,2014,0,0.16666666666666666,89,125,0.0,23.2,38.8,246.3,124.1,282.7,248.4,4.9,6.53,0.423,0.462,0.814,0.883
Kansas,Big 12,2014,0,0.25,115,106,0.25,17.8,33.3,209.7,121.2,243.5,202.9,4.62,6.29,0.343,0.415,0.774,0.75
Kansas St.,Big 12,2014,0,0.6923076923076923,47,41,0.62,35.8,23.2,140.3,134.2,229.0,287.4,6.15,5.46,0.459,0.429,0.903,0.795
Kent St.,MAC,2014,0,0.18181818181818182,116,88,-0.36,16.4,29.0,214.0,81.8,216.3,233.6,4.83,5.75,0.303,0.456,0.719,0.844
Kentucky,SEC,2014,0,0.4166666666666667,79,75,0.67,29.2,31.3,191.2,153.2,215.8,231.2,5.43,5.5,0.339,0.439,0.872,0.932
La.-Monroe,Sun Belt,2014,0,0.3333333333333333,106,47,-0.08,20.1,26.3,183.3,69.5,189.9,279.9,4.7,5.31,0.345,0.326,0.853,0.833
Louisiana,Sun Belt,2014,0,0.6923076923076923,54,72,0.23,29.5,26.0,142.2,225.9,263.6,191.5,5.91,5.88,0.422,0.39,0.912,0.733
Louisiana Tech,C-USA,2014,0,0.6428571428571429,62,34,1.14,37.4,24.7,118.2,148.6,244.3,252.2,5.86,4.94,0.401,0.347,0.891,0.854
Louisville,ACC,2014,0,0.6923076923076923,69,6,0.31,31.2,21.8,108.9,142.7,199.6,252.0,5.46,4.75,0.394,0.318,0.828,0.769
LSU,SEC,2014,0,0.6153846153846154,77,9,0.23,27.6,17.5,152.7,224.5,164.2,162.9,5.62,4.87,0.399,0.36,0.787,0.781
